S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Mar Cap 3yrs back Cr.
143.,Entero Healthcar,1080.00,45.82,4698.96,0.00,30.23,38.45,1403.82,27.96,8.71,
144.,Indiqube Spaces,212.64,,4465.68,0.00,-36.76,12.56,309.29,27.66,4.76,
145.,Northern ARC,275.00,15.53,4443.08,0.00,90.98,-6.10,627.45,7.21,9.87,
146.,Enviro Infra,251.70,21.36,4418.09,0.00,49.50,44.54,227.35,6.73,31.68,
147.,Samhi Hotels,198.99,32.01,4401.78,0.00,99.79,109.95,292.97,11.77,9.43,
148.,Shreeji Ship. Gl,270.05,32.51,4399.61,0.00,42.70,32.19,162.19,11.30,33.65,
149.,NIIT Learning,320.40,19.34,4393.19,0.94,49.30,-13.93,451.35,10.83,28.18,
150.,Gopal Snacks,349.90,98.41,4360.54,0.29,2.52,-90.04,322.17,-9.07,16.31,
151.,Ceigall India,249.10,16.20,4339.44,0.00,51.34,-33.02,838.18,1.92,19.38,
152.,GK Energy,213.85,28.30,4337.25,0.00,36.94,118.32,295.27,94.51,74.29,
153.,AWFIS Space,594.50,85.08,4251.21,0.00,9.98,257.71,334.70,29.86,12.90,
154.,Medi Assist Ser.,556.65,43.83,4138.87,0.00,22.63,18.21,190.56,13.62,18.72,
155.,Raymond Realty,614.75,56.61,4092.62,0.00,60.18,1123.17,696.50,207.93,16.38,
156.,Midwest,1117.20,38.81,4039.89,0.00,,,,,21.72,
157.,Sanathan Textile,477.50,26.72,4030.29,0.00,40.43,-19.25,745.34,-4.58,10.39,
158.,Insolation Ener,181.40,31.63,3997.02,0.06,64.92,60.56,721.73,57.32,34.73,
159.,GNG Electronics,346.65,50.39,3952.21,0.00,32.66,41.63,439.92,24.75,19.84,
160.,Interarch Build.,2182.70,31.58,3660.79,0.57,28.38,39.94,380.77,25.49,24.81,
161.,Jubilant Agri,2399.40,29.37,3634.92,0.00,42.28,69.26,512.95,26.01,33.22,
162.,TruAlt Bioenergy,422.30,20.95,3621.33,0.00,4.73,121.99,303.89,53.95,14.18,
163.,Harsha Engg Intl,397.35,33.10,3617.64,0.25,37.93,5.21,365.29,6.45,12.14,
164.,Cyient DLM,454.30,44.16,3605.52,0.00,32.15,108.09,310.63,-20.24,10.99,
